Title,Theme,Studio,Source,Episodes,Rating,Members,Date,Img_url
Huyao Xiao Hongniang: Wu Mu,Historical,Unknown,Manga,12 eps,N/A,829,"Jun 24, 2023",https://cdn.myanimelist.net/images/anime/1636/135308.jpg
You Shou Yan,Unknown,Fenz,Manga,12 eps,7.04,772,"Apr 14, 2023",https://cdn.myanimelist.net/images/anime/1859/135657.jpg
Okashi na Tensei Mini Anime,Unknown,AQUA ARIS,Light novel,10 eps,5.63,730,"Jun 23, 2023",https://cdn.myanimelist.net/images/anime/1513/136657.jpg
Yishi Du Zun,"Historical, Martial Arts",Xing Yi Kai Chen,Web novel,45 eps,6.57,657,"Apr 22, 2023",https://cdn.myanimelist.net/images/anime/1831/135319.jpg
Kimberly Mahou Gakkou no Yukai na Nichijou,School,AQUA ARIS,Light novel,36 eps,5.54,652,"Jun 28, 2023",https://cdn.myanimelist.net/images/anime/1889/136950.jpg
Qing Lian Jian Xian Chuan,Martial Arts,Ruo Hong Culture,Unknown,54 eps,6.60,613,"Apr 23, 2023",https://cdn.myanimelist.net/images/anime/1806/135323.jpg
Shanhai Jihui,Unknown,Xuni Ying Ye,Original,25 eps,N/A,579,"Apr 13, 2023",https://cdn.myanimelist.net/images/anime/1897/134905.jpg
Jiu Tian Xuan Di Jue 4th Season,"Martial Arts, Mythology",Ruo Hong Culture,Original,52 eps,6.39,565,"May 1, 2023",https://cdn.myanimelist.net/images/anime/1917/135677.jpg
Wuhang Zhanshen,Martial Arts,Ruo Hong Culture,Unknown,50 eps,6.30,565,"Jun 24, 2023",https://cdn.myanimelist.net/images/anime/1653/140120.jpg
Wulin Buer Zhoukan,Martial Arts,Unknown,Original,24 eps,N/A,538,"Apr 10, 2023",https://cdn.myanimelist.net/images/anime/1101/135236.jpg
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 5th Season,Isekai,AQUA ARIS,Web manga,3 eps,5.74,498,"May 10, 2023",https://cdn.myanimelist.net/images/anime/1639/135963.jpg
Ni Tian Zhan Ji,Unknown,Fengyun Animation,Manga,20 eps,N/A,480,"Apr 3, 2023",https://cdn.myanimelist.net/images/anime/1094/135117.jpg
Pi Zhe Lang Pi De Yang,Isekai,Unknown,Manga,16 eps,N/A,465,"Apr 18, 2023",https://cdn.myanimelist.net/images/anime/1852/134574.jpg
Ayaka Mini Anime,Unknown,AQUA ARIS,Original,16 eps,N/A,443,"Jun 23, 2023",https://cdn.myanimelist.net/images/anime/1580/136658.jpg
Nushen You Dian Ling,Unknown,Xanthus Media,Manga,18 eps,N/A,435,"Apr 24, 2023",https://cdn.myanimelist.net/images/anime/1304/138045.jpg
Tsunotsuno Taisou,Parody,Anima,Game,1 eps,5.73,420,"Apr 3, 2023",https://cdn.myanimelist.net/images/anime/1961/135097.jpg
Mao Zhi Ming 2nd Season,Unknown,Unknown,Web manga,11 eps,N/A,418,"Apr 8, 2023",https://cdn.myanimelist.net/images/anime/1663/135277.jpg
You Shou Yan 2nd Season,Unknown,Fenz,Manga,12 eps,6.97,397,"Jun 30, 2023",https://cdn.myanimelist.net/images/anime/1350/136787.jpg
"Die, Please!",School,Unknown,Web manga,11 eps,N/A,392,"May 31, 2023",https://cdn.myanimelist.net/images/anime/1621/136578.jpg
Nunchi Eobsneun Dolsoe,"Gag Humor, Historical",Unknown,Manga,6 eps,N/A,372,"May 16, 2023",https://cdn.myanimelist.net/images/anime/1269/136576.jpg
Shashou Gu De,Unknown,Unknown,Web manga,26 eps,N/A,368,"Jun 15, 2023",https://cdn.myanimelist.net/images/anime/1680/136465.jpg
The Forgotten Princess Just Wants Peace,Unknown,Unknown,Web novel,10 eps,N/A,365,"May 31, 2023",https://cdn.myanimelist.net/images/anime/1887/136575.jpg
Jian Gu,"Historical, Martial Arts",Suoyi Technology,Web novel,60 eps,N/A,361,"Jun 16, 2023",https://cdn.myanimelist.net/images/anime/1800/136501.jpg
Terrarium Adventure,"Isekai, Romantic Subtext",Unknown,Web novel,3 eps,N/A,358,"May 31, 2023",https://cdn.myanimelist.net/images/anime/1127/136233.jpg
Bastions,"Music, Super Power",Unknown,Original,5 eps,N/A,356,"May 13, 2023",https://cdn.myanimelist.net/images/anime/1850/135882.jpg
Pokemon Peaceful Place,Iyashikei,Unknown,Game,? eps,N/A,350,"Jul 29, 2022",https://cdn.myanimelist.net/images/anime/1139/126168.jpg
Ban Shen Zhi Jing,Unknown,Unknown,Web novel,20 eps,N/A,312,"Jun 21, 2023",https://cdn.myanimelist.net/images/anime/1260/136486.jpg
Azur Lane Port Diary,Unknown,Unknown,Game,1 eps,N/A,290,"Apr 23, 2023",https://cdn.myanimelist.net/images/anime/1346/140127.jpg
Moffun to Issho,Unknown,Unknown,Original,5 eps,N/A,285,"Jun 4, 2023",https://cdn.myanimelist.net/images/anime/1922/136301.jpg
Azur Lane Avengers!,Unknown,Unknown,Game,1 eps,N/A,271,"Apr 1, 2023",https://cdn.myanimelist.net/images/anime/1053/140230.jpg
Gyaku Isekai Tensei Agent Eiko-san,Reincarnation,Unknown,Unknown,12 eps,N/A,254,"Jun 17, 2023",https://cdn.myanimelist.net/images/anime/1342/137251.jpg
Monk Seishin,Historical,Unknown,Original,1 eps,N/A,232,"May 17, 2023",https://cdn.myanimelist.net/images/anime/1617/138235.jpg
Chang Jian Feng Yun 2nd Season,Unknown,Unknown,Original,10 eps,N/A,216,"Apr 26, 2023",https://cdn.myanimelist.net/images/anime/1810/135720.jpg
Mendako no Menmen,Iyashikei,Unknown,Unknown,10 eps,N/A,213,"Apr 8, 2023",https://cdn.myanimelist.net/images/anime/1564/135379.jpg
Untarou Tabi Monogatari,"Anthropomorphic, Educational","Acca effe, Joker Films",Picture book,12 eps,N/A,143,"Apr 12, 2023",https://cdn.myanimelist.net/images/anime/1494/135556.jpg
Larva Family,Gag Humor,TUBA,Unknown,26 eps,N/A,141,"May 4, 2023",https://cdn.myanimelist.net/images/anime/1925/139335.jpg
Qing Chi Hong Xiaodou Ba! Season 0.5 Fanwai,Anthropomorphic,Making Animation,Original,1 eps,N/A,115,"May 31, 2023",https://cdn.myanimelist.net/images/anime/1064/138675.jpg
Menghuan Shuyuan: Haiyang Gongyi Pian,Educational,Unknown,Game,1 eps,N/A,24,"Apr 19, 2023",https://cdn.myanimelist.net/images/anime/1770/144631.jpg
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.","Love Polygon, School",feel.,Light novel,1 eps,7.71,112K,"Apr 27, 2023",https://cdn.myanimelist.net/images/anime/1334/132921.jpg
Love Live! Nijigasaki Gakuen School Idol Doukoukai: Next Sky,"Idols (Female), Music, School",Sunrise,Other,1 eps,7.30,9.8K,"Jun 23, 2023",https://cdn.myanimelist.net/images/anime/1515/134847.jpg
Maid Kyouiku: Botsuraku Kizoku Rurikawa Tsubaki The Animation,Unknown,Studio 1st,Manga,1 eps,6.84,4.9K,"May 26, 2023",https://cdn.myanimelist.net/images/anime/1394/133840.jpg
Fushigi no Kuni no Succubus,Unknown,Majin,Game,2 eps,5.86,3.1K,"May 26, 2023",https://cdn.myanimelist.net/images/anime/1953/133788.jpg
Tsurupeta Shugo Kishi Elfina Ochiru,Unknown,Blue bread,Manga,2 eps,6.33,2.6K,"Apr 14, 2023",https://cdn.myanimelist.net/images/anime/1595/135656.jpg
Rakuen Shinshoku: Island of the Dead,Unknown,Rabbit Gate,Visual novel,2 eps,6.52,2.6K,"May 26, 2023",https://cdn.myanimelist.net/images/anime/1899/133778.jpg
Stand My Heroes: Warmth of Memories,"Adult Cast, Detective, Reverse Harem",M.S.C,Game,1 eps,6.11,2.6K,"May 24, 2023",https://cdn.myanimelist.net/images/anime/1132/127673.jpg
Tenchi Muyou! GXP: Paradise Shidou-hen,"Detective, Harem, Mecha, Space","AIC, Saber Project",Original,6 eps,6.11,2.5K,"May 26, 2023",https://cdn.myanimelist.net/images/anime/1169/134697.jpg
Kokuhaku……,Unknown,Nur,Original,2 eps,5.88,2.4K,"Apr 28, 2023",https://cdn.myanimelist.net/images/anime/1833/133135.jpg
Tabi wa ni,Unknown,studio hb,Original,3 eps,N/A,2.4K,"Apr 8, 2023",https://cdn.myanimelist.net/images/anime/1909/117482.jpg
Nightmare x Deathscythe: Hangyaku no Resonance,Unknown,Anime Antenna Iinkai,Visual novel,2 eps,5.56,1.9K,"May 26, 2023",https://cdn.myanimelist.net/images/anime/1013/134726.jpg
Black Clover: Mahou Tei no Ken,Unknown,Pierrot,Manga,1 eps,8.01,225K,"Jun 16, 2023",https://cdn.myanimelist.net/images/anime/1337/136363.jpg
Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,School,CloverWorks,Light novel,1 eps,7.75,124K,"Jun 23, 2023",https://cdn.myanimelist.net/images/anime/1540/134808.jpg
Psycho-Pass Movie: Providence,"Adult Cast, Detective, Psychological",Production I.G,Original,1 eps,7.63,49K,"May 12, 2023",https://cdn.myanimelist.net/images/anime/1244/134653.jpg
Meitantei Conan Movie 26: Kurogane no Submarine,Detective,TMS Entertainment,Manga,1 eps,8.35,13K,"Apr 14, 2023",https://cdn.myanimelist.net/images/anime/1138/133101.jpg
Princess Principal: Crown Handler Movie 3,Historical,Actas,Original,1 eps,7.62,12K,"Apr 7, 2023",https://cdn.myanimelist.net/images/anime/1570/130995.jpg
Bishoujo Senshi Sailor Moon Cosmos Movie,Mahou Shoujo,"Studio Deen, Toei Animation",Manga,2 eps,7.72,11K,"Jun 9, 2023",https://cdn.myanimelist.net/images/anime/1388/133092.jpg
Collar x Malice Movie: Deep Cover,"Detective, Reverse Harem",Studio Deen,Visual novel,2 eps,5.92,11K,"May 26, 2023",https://cdn.myanimelist.net/images/anime/1535/133157.jpg
Amrita no Kyouen,Unknown,Unknown,Original,1 eps,5.35,7.1K,"May 26, 2023",https://cdn.myanimelist.net/images/anime/1960/135589.jpg
IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,"Idols (Male), Music",Orange,Game,2 eps,7.82,3.4K,"May 20, 2023",https://cdn.myanimelist.net/images/anime/1698/136186.jpg
Geu Yeoreum Movie,Unknown,Red Dog Culture House,Novel,1 eps,6.99,3.4K,"Jun 7, 2023",https://cdn.myanimelist.net/images/anime/1331/138356.jpg
Eternal Boys Next Stage,"Adult Cast, Idols (Male), Music",LIDENFILMS,Original,1 eps,6.34,1.6K,"Jun 9, 2023",https://cdn.myanimelist.net/images/anime/1550/135543.jpg
Sore Ike! Anpanman Movie: Roboly to Pokapoka Present,Unknown,TMS Entertainment,Picture book,1 eps,N/A,230,"Jun 30, 2023",https://cdn.myanimelist.net/images/anime/1431/136549.jpg
Colossus: Child of the Wind,Unknown,Unknown,Original,1 eps,N/A,161,"May 18, 2023",https://cdn.myanimelist.net/images/anime/1759/138325.jpg
Zhongkui,Unknown,Unknown,Unknown,1 eps,N/A,144,"Jun 16, 2023",https://cdn.myanimelist.net/images/anime/1895/137826.jpg
Shi Yi Nanhai,Unknown,Unknown,Original,1 eps,N/A,129,"May 5, 2023",https://cdn.myanimelist.net/images/anime/1837/137854.jpg
Synapusyu The Movie: Push Hoppe New World,Unknown,Unknown,Unknown,1 eps,N/A,124,"May 19, 2023",https://cdn.myanimelist.net/images/anime/1666/136895.jpg
Mao Nian Haian,Anthropomorphic,Unknown,Original,1 eps,N/A,111,"May 5, 2023",https://cdn.myanimelist.net/images/anime/1275/137853.jpg
Qiaohu Qihuan Wutai Lixian Ji,Unknown,Unknown,Other,1 eps,N/A,111,"Jun 1, 2023",https://cdn.myanimelist.net/images/anime/1086/137843.jpg
Wanmei Zhi Cheng: Zui Yonggan de Xiaohai,Unknown,Unknown,Original,1 eps,N/A,104,"Apr 1, 2023",https://cdn.myanimelist.net/images/anime/1301/138336.jpg
Hantu de Qihuan Zhi Lu,Anthropomorphic,Unknown,Original,1 eps,N/A,97,"Jun 22, 2023",https://cdn.myanimelist.net/images/anime/1004/137828.jpg
Fiction Shigi Yama,Historical,Takun Manga Box,Other,1 eps,N/A,91,"Apr 17, 2023",https://cdn.myanimelist.net/images/anime/1665/140021.jpg
Fengkuang Xiao Shijie,Unknown,Unknown,Original,1 eps,N/A,89,"Jun 22, 2023",https://cdn.myanimelist.net/images/anime/1706/137845.jpg
Mohuan Qi Yuan: Baoshi Gongzhu,Unknown,Unknown,Original,1 eps,N/A,78,"Apr 29, 2023",https://cdn.myanimelist.net/images/anime/1963/140187.jpg
Qingwa Wangguo: Qihuan Nuwang Lixian,Unknown,Unknown,Original,1 eps,N/A,78,"Apr 1, 2023",https://cdn.myanimelist.net/images/anime/1544/139919.jpg
Chao Meng Shikong Baobei,Unknown,Unknown,Original,1 eps,N/A,77,"Apr 29, 2023",https://cdn.myanimelist.net/images/anime/1893/140189.jpg
Xin Zhu Zhu Xia Da Dianying: Chaoji Saiche,"Racing, Super Power",Unknown,Original,1 eps,N/A,75,"Apr 29, 2023",https://cdn.myanimelist.net/images/anime/1154/140188.jpg
Yuzhou Huwei Dui: Fengbao Liliang,Anthropomorphic,Unknown,Original,1 eps,N/A,73,"Apr 29, 2023",https://cdn.myanimelist.net/images/anime/1947/140186.jpg
Xia Meng Hui,Unknown,Flying Monkeys Production,Original,1 eps,N/A,54,"May 23, 2023",https://cdn.myanimelist.net/images/anime/1486/143473.jpg
Inu ni Nattara Suki na Hito ni Hirowareta. Specials,Unknown,Quad,Web manga,2 eps,5.32,20K,"Mar 29, 2023",https://cdn.myanimelist.net/images/anime/1453/132695.jpg
Mashle: Mash Burnedead to Fushigi na Tegami,"Gag Humor, Parody, School",A-1 Pictures,Manga,1 eps,6.37,17K,"May 20, 2023",https://cdn.myanimelist.net/images/anime/1097/135946.jpg
One Piece: Dai Gekisen Tokushuu! Zoro vs. Ookanban!,Unknown,Toei Animation,Manga,1 eps,6.56,3.3K,"May 14, 2023",https://cdn.myanimelist.net/images/anime/1197/135856.jpg
One Piece: Dai Gekisen Tokushuu! Hangeki Doumei vs. Big Mom,Unknown,Toei Animation,Manga,1 eps,6.58,3.2K,"Jun 18, 2023",https://cdn.myanimelist.net/images/anime/1981/136443.jpg
Kidou Senshi Gundam: Suisei no Majo Season 2 Recap,"Mecha, School, Space",Sunrise,Original,1 eps,6.15,1.1K,"May 14, 2023",https://cdn.myanimelist.net/images/anime/1954/135837.jpg
The iDOLM@STER Cinderella Girls: U149 Recap,"Idols (Female), Music",CygamesPictures,Web manga,1 eps,6.19,929,"May 25, 2023",https://cdn.myanimelist.net/images/anime/1597/136173.jpg
Shin Shinka no Mi Gekijou Special,Unknown,AQUA ARIS,Light novel,1 eps,5.45,631,"May 26, 2023",https://cdn.myanimelist.net/images/anime/1117/138447.jpg
Kagami no Kojou no Mae to Ato,Unknown,A-1 Pictures,Novel,1 eps,N/A,180,"May 26, 2023",https://cdn.myanimelist.net/images/anime/1015/142509.jpg
Hello Carbot × Mecard Ball,Mecha,Unknown,Original,4 eps,N/A,122,"Apr 2, 2023",https://cdn.myanimelist.net/images/anime/1576/137759.jpg
Sinbi Apartment: Bugiui Balmyeongpumeul Chajala!,Unknown,Studio BAZOOKA,Original,1 eps,N/A,119,"Jun 3, 2023",https://cdn.myanimelist.net/images/anime/1921/137805.jpg
Pororo 20-junyeon Special: Chuldong! Linawang-gug Daejagjeon,Anthropomorphic,Unknown,Original,1 eps,N/A,43,"May 5, 2023",https://cdn.myanimelist.net/images/anime/1715/143488.jpg
Jujutsu Kaisen 2nd Season,"Gore, School",MAPPA,Manga,23 eps,8.81,1.0M,"Jul 6, 2023",https://cdn.myanimelist.net/images/anime/1792/138022.jpg
Mushoku Tensei II: Isekai Ittara Honki Dasu,"Isekai, Reincarnation",Studio Bind,Light novel,12 eps,8.25,584K,"Jul 10, 2023",https://cdn.myanimelist.net/images/anime/1898/138005.jpg
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,"Adult Cast, Survival",BUG FILMS,Manga,12 eps,7.79,549K,"Jul 9, 2023",https://cdn.myanimelist.net/images/anime/1384/136408.jpg
Horimiya: Piece,School,CloverWorks,Manga,13 eps,8.18,336K,"Jul 1, 2023",https://cdn.myanimelist.net/images/anime/1007/136277.jpg
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Unknown,Pierrot,Manga,13 eps,8.69,289K,"Jul 8, 2023",https://cdn.myanimelist.net/images/anime/1164/138058.jpg
Watashi no Shiawase na Kekkon,"Adult Cast, Historical",Kinema Citrus,Novel,12 eps,7.74,288K,"Jul 5, 2023",https://cdn.myanimelist.net/images/anime/1147/122444.jpg
Masamune-kun no Revenge R,"Harem, School",SILVER LINK.,Manga,12 eps,7.23,207K,"Jul 3, 2023",https://cdn.myanimelist.net/images/anime/1667/135587.jpg
Suki na Ko ga Megane wo Wasureta,"Romantic Subtext, School",GoHands,Manga,13 eps,7.13,194K,"Jul 4, 2023",https://cdn.myanimelist.net/images/anime/1582/136325.jpg
Bungou Stray Dogs 5th Season,"Adult Cast, Detective, Organized Crime, Super Power, Vampire",Bones,Manga,11 eps,8.64,193K,"Jul 12, 2023",https://cdn.myanimelist.net/images/anime/1161/136691.jpg
"Kanojo, Okarishimasu 3rd Season","Adult Cast, Harem",TMS Entertainment,Manga,12 eps,7.05,175K,"Jul 8, 2023",https://cdn.myanimelist.net/images/anime/1696/136634.jpg
Yumemiru Danshi wa Genjitsushugisha,School,"AXsiZ, Studio Gokumi",Light novel,12 eps,6.62,160K,"Jul 4, 2023",https://cdn.myanimelist.net/images/anime/1239/134810.jpg
"Jitsu wa Ore, Saikyou deshita?","Isekai, Reincarnation",Staple Entertainment,Light novel,12 eps,6.49,158K,"Jul 2, 2023",https://cdn.myanimelist.net/images/anime/1963/138464.jpg
Nanatsu no Maken ga Shihai suru,School,J.C.Staff,Light novel,15 eps,6.56,151K,"Jul 8, 2023",https://cdn.myanimelist.net/images/anime/1396/136273.jpg
Undead Girl Murder Farce,"Adult Cast, Detective, Historical, Vampire",Lapin Track,Novel,13 eps,7.88,150K,"Jul 6, 2023",https://cdn.myanimelist.net/images/anime/1946/136661.jpg
Liar Liar,"Psychological, School, Strategy Game",Geek Toys,Light novel,12 eps,6.31,148K,"Jul 8, 2023",https://cdn.myanimelist.net/images/anime/1571/134525.jpg
Dark Gathering,Gore,OLM,Manga,25 eps,7.84,141K,"Jul 10, 2023",https://cdn.myanimelist.net/images/anime/1346/138731.jpg
Hataraku Maou-sama!! 2nd Season,"Mythology, Workplace",Studio 3Hz,Light novel,12 eps,6.66,140K,"Jul 13, 2023",https://cdn.myanimelist.net/images/anime/1392/136670.jpg
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,"Isekai, Reincarnation","AXsiZ, Studio Gokumi",Light novel,12 eps,6.48,136K,"Jul 5, 2023",https://cdn.myanimelist.net/images/anime/1653/136097.jpg
Rurouni Kenshin: Meiji Kenkaku Romantan (2023),"Historical, Samurai",LIDENFILMS,Manga,24 eps,7.60,119K,"Jul 7, 2023",https://cdn.myanimelist.net/images/anime/1599/136532.jpg
Eiyuu Kyoushitsu,"Harem, School",Actas,Light novel,12 eps,6.06,116K,"Jul 9, 2023",https://cdn.myanimelist.net/images/anime/1179/136000.jpg
Level 1 dakedo Unique Skill de Saikyou desu,"Harem, Isekai, Reincarnation",Maho Film,Light novel,12 eps,6.23,116K,"Jul 8, 2023",https://cdn.myanimelist.net/images/anime/1579/136295.jpg
Uchi no Kaisha no Chiisai Senpai no Hanashi,"Adult Cast, Workplace",Project No.9,Web manga,12 eps,6.90,110K,"Jul 2, 2023",https://cdn.myanimelist.net/images/anime/1984/136274.jpg
"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi","Isekai, Reincarnation","Cloud Hearts, Yokohama Animation Laboratory",Light novel,12 eps,7.11,109K,"Jul 7, 2023",https://cdn.myanimelist.net/images/anime/1490/137816.jpg
Dekiru Neko wa Kyou mo Yuuutsu,"Adult Cast, Anthropomorphic",GoHands,Web manga,13 eps,7.66,104K,"Jul 8, 2023",https://cdn.myanimelist.net/images/anime/1074/136720.jpg
Helck,Unknown,Satelight,Web manga,24 eps,7.28,96K,"Jul 12, 2023",https://cdn.myanimelist.net/images/anime/1002/138524.jpg
Temple,Harem,Gekkou,Web manga,12 eps,6.71,96K,"Jul 9, 2023",https://cdn.myanimelist.net/images/anime/1879/136896.jpg
Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.,"Isekai, Reincarnation",OLM,Light novel,12 eps,7.10,92K,"Jul 7, 2023",https://cdn.myanimelist.net/images/anime/1722/135542.jpg
Okashi na Tensei,"Isekai, Reincarnation",SynergySP,Light novel,12 eps,6.70,84K,"Jul 4, 2023",https://cdn.myanimelist.net/images/anime/1251/136232.jpg
Shinigami Bocchan to Kuro Maid 2nd Season,Romantic Subtext,J.C.Staff,Web manga,12 eps,7.61,84K,"Jul 9, 2023",https://cdn.myanimelist.net/images/anime/1078/136947.jpg
Shiro Seijo to Kuro Bokushi,Unknown,Doga Kobo,4-koma manga,12 eps,7.36,79K,"Jul 13, 2023",https://cdn.myanimelist.net/images/anime/1329/135096.jpg
Lv1 Maou to One Room Yuusha,Unknown,"Blade, SILVER LINK.",Web manga,12 eps,7.17,74K,"Jul 3, 2023",https://cdn.myanimelist.net/images/anime/1879/136721.jpg
Ryza no Atelier: Tokoyami no Joou to Himitsu no Kakurega,Unknown,LIDENFILMS,Game,12 eps,6.42,67K,"Jul 2, 2023",https://cdn.myanimelist.net/images/anime/1079/136949.jpg
Sugar Apple Fairy Tale Part 2,Visual Arts,J.C.Staff,Light novel,12 eps,7.63,61K,"Jul 7, 2023",https://cdn.myanimelist.net/images/anime/1693/138042.jpg
AI no Idenshi,Psychological,Madhouse,Manga,12 eps,6.54,45K,"Jul 8, 2023",https://cdn.myanimelist.net/images/anime/1706/136176.jpg
Ayaka,Mythology,Studio Blanc.,Original,12 eps,6.42,44K,"Jul 2, 2023",https://cdn.myanimelist.net/images/anime/1406/136367.jpg
Spy Kyoushitsu 2nd Season,Unknown,feel.,Light novel,12 eps,7.15,43K,"Jul 13, 2023",https://cdn.myanimelist.net/images/anime/1317/136666.jpg
Synduality: Noir,Mecha,8bit,Mixed media,12 eps,6.80,43K,"Jul 11, 2023",https://cdn.myanimelist.net/images/anime/1464/134806.jpg
Genjitsu no Yohane: Sunshine in the Mirror,"Idols (Female), Music",Sunrise,Other,13 eps,6.87,38K,"Jul 2, 2023",https://cdn.myanimelist.net/images/anime/1208/133335.jpg
Mononogatari 2nd Season,"Adult Cast, Mythology",Bandai Namco Pictures,Manga,12 eps,7.34,36K,"Jul 4, 2023",https://cdn.myanimelist.net/images/anime/1111/135927.jpg
FLCL: Grunge,"Mecha, Parody",MontBlanc Pictures,Original,3 eps,4.67,33K,Unknown,https://cdn.myanimelist.net/images/anime/1330/121527.jpg
BanG Dream! It's MyGO!!!!!,Music,SANZIGEN,Mixed media,13 eps,8.22,22K,"Jun 29, 2023",https://cdn.myanimelist.net/images/anime/1891/136948.jpg
Yami Shibai 11,Unknown,ILCA,Original,13 eps,5.81,6.8K,"Jul 10, 2023",https://cdn.myanimelist.net/images/anime/1375/135625.jpg
Hyakushou Kizoku,Unknown,Pie in the sky,Manga,12 eps,6.70,4.1K,"Jul 7, 2023",https://cdn.myanimelist.net/images/anime/1134/135615.jpg
Cardfight!! Vanguard: will+Dress Season 3,Strategy Game,"GIFTanimation, Kinema Citrus, Studio Jemi",Original,13 eps,6.54,3.1K,"Jul 8, 2023",https://cdn.myanimelist.net/images/anime/1739/136945.jpg
Shadowverse Flame: Seven Shadows-hen,Strategy Game,Zexcs,Card game,25 eps,6.76,2.8K,"Jul 8, 2023",https://cdn.myanimelist.net/images/anime/1070/134743.jpg
Nanashi Kaidan (2023),Unknown,Unknown,Original,5 eps,N/A,2.4K,"Aug 7, 2023",https://cdn.myanimelist.net/images/anime/1097/137404.jpg
Ikimono-san,Unknown,New Deer,Other,12 eps,5.82,1.1K,"Jul 8, 2023",https://cdn.myanimelist.net/images/anime/1466/136270.jpg
Sylvanian Families: Freya no Go for Dream!,Unknown,LandQ studios,Other,13 eps,N/A,305,"Jul 6, 2023",https://cdn.myanimelist.net/images/anime/1455/137080.jpg
Balala Xiao Mo Xian: Xing Yuan Die Qi 1,Mahou Shoujo,Unknown,Original,26 eps,N/A,250,"Aug 11, 2023",https://cdn.myanimelist.net/images/anime/1950/138554.jpg
Heart Cocktail Colorful: Natsu-hen,Unknown,Unknown,Original,5 eps,N/A,186,"Jul 31, 2023",https://cdn.myanimelist.net/images/anime/1624/139683.jpg
Dinoster: Gonglyongsuhodae,Mecha,Unknown,Original,26 eps,N/A,182,"Aug 28, 2023",https://cdn.myanimelist.net/images/anime/1209/139580.jpg
Rainbow Bubblegem,Unknown,Unknown,Original,26 eps,N/A,178,"Aug 30, 2023",https://cdn.myanimelist.net/images/anime/1262/139111.jpg
Dino Powers 2,Mecha,Unknown,Original,26 eps,N/A,164,"Jul 20, 2023",https://cdn.myanimelist.net/images/anime/1583/138131.jpg
Supertrons,Mecha,Unknown,Other,13 eps,N/A,148,"Aug 10, 2023",https://cdn.myanimelist.net/images/anime/1168/138309.jpg
Porong Porong Pororo 8,Unknown,Unknown,Original,26 eps,N/A,138,"Aug 28, 2023",https://cdn.myanimelist.net/images/anime/1515/139097.jpg
Space Donguibogam 2,Unknown,Unknown,Original,13 eps,N/A,131,"Aug 9, 2023",https://cdn.myanimelist.net/images/anime/1637/138312.jpg
One Piece,Unknown,Toei Animation,Manga,? eps,8.72,2.4M,"Oct 20, 1999",https://cdn.myanimelist.net/images/anime/1244/138851.jpg
Meitantei Conan,Detective,TMS Entertainment,Manga,? eps,8.17,353K,"Jan 8, 1996",https://cdn.myanimelist.net/images/anime/7/75199.jpg
"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou","Reincarnation, School",SILVER LINK.,Light novel,12 eps,6.88,347K,"Jan 8, 2023",https://cdn.myanimelist.net/images/anime/1369/139553.jpg
Crayon Shin-chan,School,Shin-Ei Animation,Manga,? eps,7.79,86K,"Apr 13, 1992",https://cdn.myanimelist.net/images/anime/10/59897.jpg
Niehime to Kemono no Ou,Anthropomorphic,J.C.Staff,Manga,24 eps,7.96,77K,"Apr 20, 2023",https://cdn.myanimelist.net/images/anime/1397/133339.jpg
Ayakashi Triangle,"Magical Sex Shift, Mythology",Connect,Manga,12 eps,6.44,72K,"Jan 10, 2023",https://cdn.myanimelist.net/images/anime/1078/131921.jpg
Edens Zero 2nd Season,Space,J.C.Staff,Manga,25 eps,7.43,69K,"Apr 2, 2023",https://cdn.myanimelist.net/images/anime/1943/135100.jpg
Ao no Orchestra,"Music, Performing Arts, School",Nippon Animation,Web manga,24 eps,7.15,58K,"Apr 9, 2023",https://cdn.myanimelist.net/images/anime/1832/133754.jpg
Pokemon (2023),Unknown,OLM,Game,? eps,7.40,31K,"Apr 14, 2023",https://cdn.myanimelist.net/images/anime/1703/137216.jpg
Doraemon (2005),Anthropomorphic,Shin-Ei Animation,Manga,? eps,7.70,21K,"Apr 22, 2005",https://cdn.myanimelist.net/images/anime/6/23935.jpg
Gudetama,Unknown,Gathering,Original,? eps,7.04,13K,"Mar 31, 2014",https://cdn.myanimelist.net/images/anime/10/79996.jpg
Hirogaru Sky! Precure,Mahou Shoujo,Toei Animation,Original,50 eps,7.62,10K,"Feb 5, 2023",https://cdn.myanimelist.net/images/anime/1762/135268.jpg
Sazae-san,Unknown,Eiken,4-koma manga,? eps,6.12,8.5K,"Oct 5, 1969",https://cdn.myanimelist.net/images/anime/1008/98996.jpg
